PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Species,Strain/Sex,Route,Dose,Tumor Site: Type of Lesion,Results,Reference
6390,363904679,71157,CC1=C(C(=CC=C1)C)NC(=O)CN2CCCC2=O,Inactive,,,,MOUSE,B6C3F1/MALE,ORAL,0; 30; 90; 270 MG/KG/D IN DIET FOR 104 WK (STUDY DURATION: 104 WK),,NEGATIVE,"[KAJIMURA,T, SATOH,H, RAJASEKARAN,D, SPICER,EJF, NAKASHIMA,N AND TAKAYAMA,S; ONCOGENICITY STUDIES OF THE COGNITION-ENHANCING AGENT NEFIRACETAM IN MICE AND RATS; ARZNEIM.-FORSCH. 44-1(2A):254-259, 1994]"
6391,363904679,71157,CC1=C(C(=CC=C1)C)NC(=O)CN2CCCC2=O,Inactive,,,,MOUSE,B6C3F1/FEMALE,ORAL,0; 30; 90; 270 MG/KG/D IN DIET FOR 104 WK (STUDY DURATION: 104 WK),,NEGATIVE,"[KAJIMURA,T, SATOH,H, RAJASEKARAN,D, SPICER,EJF, NAKASHIMA,N AND TAKAYAMA,S; ONCOGENICITY STUDIES OF THE COGNITION-ENHANCING AGENT NEFIRACETAM IN MICE AND RATS; ARZNEIM.-FORSCH. 44-1(2A):254-259, 1994]"
6392,363904679,71157,CC1=C(C(=CC=C1)C)NC(=O)CN2CCCC2=O,Inactive,,,,RAT,F344/MALE,ORAL,0; 200; 600; 1800 PPM IN DIET FOR 104 WK (STUDY DURATION: 104 WK),,NEGATIVE,"[KAJIMURA,T, SATOH,H, RAJASEKARAN,D, SPICER,EJF, NAKASHIMA,N AND TAKAYAMA,S; ONCOGENICITY STUDIES OF THE COGNITION-ENHANCING AGENT NEFIRACETAM IN MICE AND RATS; ARZNEIM.-FORSCH. 44-1(2A):254-259, 1994]"
6393,363904679,71157,CC1=C(C(=CC=C1)C)NC(=O)CN2CCCC2=O,Inactive,,,,RAT,F344/FEMALE,ORAL,0; 200; 600; 1800 PPM IN DIET FOR 104 WK (STUDY DURATION: 104 WK),,NEGATIVE,"[KAJIMURA,T, SATOH,H, RAJASEKARAN,D, SPICER,EJF, NAKASHIMA,N AND TAKAYAMA,S; ONCOGENICITY STUDIES OF THE COGNITION-ENHANCING AGENT NEFIRACETAM IN MICE AND RATS; ARZNEIM.-FORSCH. 44-1(2A):254-259, 1994]"
6394,363904691,34457,C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)COC(=O)CCCC4=CC=C(C=C4)N(CCCl)CCCl)O)CCC5=CC(=O)C=C[C@]35C)O,Active,,,,RAT,SPRAGUE-DAWLEY/FEMALE,GAVAGE,"0; 12 MG/KG ADMINISTERED 1, 2, 4.5 OR 9 TIMES PER MO FOR 18 MO TO GIVE MEDIAN TOTAL DOSES OF 216; 432; 938; 1872 MG/KG (STUDY DURATION: LIFETIME)",EAR CANAL: SQUAMOUS-CELL CARCINOMA,POSITIVE,"[BERGER,MR, HABS,M AND SCHMAHL,D; COMPARATIVE CARCINOGENIC ACTIVITY OF PREDNIMUSTINE, CHLORAMBUCIL, PREDNISOLONE AND CHLORAMBUCIL PLUS PREDNISOLONE IN SPRAGUE-DAWLEY RATS; ARCH. GESCHWULSTFORSCH. 55:429-442, 1985][BERGER,MR, HABS,M AND SCHMAHL,D; LONG-TERM TOXICOLOGY EFFECTS OF PREDNIMUSTINE IN COMPARISON WITH CHLORAMBUCIL, PREDNISOLONE, AND CHLORAMBUCIL PLUS PREDNISOLONE IN SPRAGUE-DAWLEY RATS; SEMIN. ONCOL. 13(SUPPL. 1):8-13, 1986]"
6395,363904692,65114,C1=NN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O,Inactive,,,,RAT,F344/MALE,INTRAPERITONEAL,0; 2.5 MG/KG IN 0.9% SALINE 3/WK FOR 1 YR (STUDY DURATION: 1 YR),,NEGATIVE,"[CARR,BI, RAHBAR,S, ASMERON,Y, RIGGS,A AND WINBERG,CD; CARCINOGENICITY AND HAEMOGLOBIN SYNTHESIS INDUCTION BY CYTIDINE ANALOGUES; BR. J. CANCER 57:395-402, 1988]"
6396,363904693,99681,C1N=C(NC(=O)N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N,Inactive,,,,RAT,F344/MALE,INTRAPERITONEAL,0; 50 MG/KG IN 0.9% SALINE 3/WK FOR 1 YR (STUDY DURATION: 1 YR),,NEGATIVE,"[CARR,BI, RAHBAR,S, ASMERON,Y, RIGGS,A AND WINBERG,CD; CARCINOGENICITY AND HAEMOGLOBIN SYNTHESIS INDUCTION BY CYTIDINE ANALOGUES; BR. J. CANCER 57:395-402, 1988]"
6397,363904694,6369,C=C(F)F,Inactive,,,,RAT,SPRAGUE-DAWLEY/MALE,GAVAGE,0; 4.12; 8.25 MG/KG BW IN OLIVE OIL 1/D 4-5 D/WK FOR 52 WK (STUDY DURATION: LIFETIME),[BRAIN WAS ONLY SITE EVALUATED],NEGATIVE,"[MALTONI,C, CILIBERTI,A AND CARRETTI,P; EXPERIMENTAL CONTRIBUTIONS IN IDENTIFYING BRAIN POTENTIAL CARCINOGENS IN THE PETROCHEMICAL INDUSTRY; ANN. N.Y. ACAD. SCI. 381:216-249, 1982]"
6398,363904694,6369,C=C(F)F,Inactive,,,,RAT,SPRAGUE-DAWLEY/FEMALE,GAVAGE,0; 4.12; 8.25 MG/KG BW IN OLIVE OIL 1/D 4-5 D/WK FOR 52 WK (STUDY DURATION: LIFETIME),[BRAIN WAS ONLY SITE EVALUATED],NEGATIVE,"[MALTONI,C, CILIBERTI,A AND CARRETTI,P; EXPERIMENTAL CONTRIBUTIONS IN IDENTIFYING BRAIN POTENTIAL CARCINOGENS IN THE PETROCHEMICAL INDUSTRY; ANN. N.Y. ACAD. SCI. 381:216-249, 1982]"
6399,363904713,8259,C(C(Cl)(Cl)Cl)O,Inactive,,,,MOUSE,B6C3F1/FEMALE,INTRAPERITONEAL,"0; 1000 NMOL TOTAL DOSE, 1/3 AND 2/3 OF THE TOTAL DOSE ADMINISTERED AT 8 AND 15 DAYS OF AGE RESPECTIVELY, ANIMALS TERMINATED AT 20 MO OF AGE (STUDY DURATION: 20 MO)",,NEGATIVE,"[VON TUNGELN,LS YI,P BUCCI,TJ SAMOKYSZYN,VM CHOU,MW KADLUBAR,FF AND FU,PP; TUMORIGENICITY OF CHLORAL HYDRATE, TRICHLOROACETIC ACID, TRICHLOROETHANOL, MALONDIALDEHYDE, 4-HYDROXY-2-NONENAL, CROTONALDEHYDE, AND ACROLEIN IN THE B6C3F1 NEONATAL MOUSE; CANCER LETT. (SHANNON, IRELAND) 185(1):13-19, 2002]"
6400,363904713,8259,C(C(Cl)(Cl)Cl)O,Inactive,,,,MOUSE,B6C3F1/MALE,INTRAPERITONEAL,"0; 1000 NMOL TOTAL DOSE, 1/3 AND 2/3 OF THE TOTAL DOSE ADMINISTERED AT 8 AND 15 DAYS OF AGE RESPECTIVELY, ANIMALS TERMINATED AT 20 MO OF AGE (STUDY DURATION: 20 MO)",,NEGATIVE,"[VON TUNGELN,LS YI,P BUCCI,TJ SAMOKYSZYN,VM CHOU,MW KADLUBAR,FF AND FU,PP; TUMORIGENICITY OF CHLORAL HYDRATE, TRICHLOROACETIC ACID, TRICHLOROETHANOL, MALONDIALDEHYDE, 4-HYDROXY-2-NONENAL, CROTONALDEHYDE, AND ACROLEIN IN THE B6C3F1 NEONATAL MOUSE; CANCER LETT. (SHANNON, IRELAND) 185(1):13-19, 2002]"
6401,363904713,8259,C(C(Cl)(Cl)Cl)O,Inactive,,,,MOUSE,B6C3F1/FEMALE,INTRAPERITONEAL,"0; 2000 NMOL TOTAL DOSE, 3/7 AND 4/7 OF THE TOTAL DOSE ADMINISTERED AT 8 AND 15 DAYS OF AGE RESPECTIVELY, ANIMALS TERMINATED AT 20 MO OF AGE (STUDY DURATION: 12 MO)",,NEGATIVE,"[VON TUNGELN,LS YI,P BUCCI,TJ SAMOKYSZYN,VM CHOU,MW KADLUBAR,FF AND FU,PP; TUMORIGENICITY OF CHLORAL HYDRATE, TRICHLOROACETIC ACID, TRICHLOROETHANOL, MALONDIALDEHYDE, 4-HYDROXY-2-NONENAL, CROTONALDEHYDE, AND ACROLEIN IN THE B6C3F1 NEONATAL MOUSE; CANCER LETT. (SHANNON, IRELAND) 185(1):13-19, 2002]"
6402,363904713,8259,C(C(Cl)(Cl)Cl)O,Inactive,,,,MOUSE,B6C3F1/MALE,INTRAPERITONEAL,"0; 2000 NMOL TOTAL DOSE, 3/7 AND 4/7 OF THE TOTAL DOSE ADMINISTERED AT 8 AND 15 DAYS OF AGE RESPECTIVELY, ANIMALS TERMINATED AT 20 MO OF AGE (STUDY DURATION: 12 MO)",,NEGATIVE,"[VON TUNGELN,LS YI,P BUCCI,TJ SAMOKYSZYN,VM CHOU,MW KADLUBAR,FF AND FU,PP; TUMORIGENICITY OF CHLORAL HYDRATE, TRICHLOROACETIC ACID, TRICHLOROETHANOL, MALONDIALDEHYDE, 4-HYDROXY-2-NONENAL, CROTONALDEHYDE, AND ACROLEIN IN THE B6C3F1 NEONATAL MOUSE; CANCER LETT. (SHANNON, IRELAND) 185(1):13-19, 2002]"
6403,363904731,7859,C#CCO,Inactive,,,,Rat,F344/N  / Female (50/Group),Inhalation,"0; 16; 32; 64 ppm for 6 hr plus 14 min per d, 5 d per wk for 105 wk (Study duration: 105 wk)",None,Negative. Conclusions of authors: No evidence of carcinogenic activity.,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-552 Y08]"
6404,363904731,7859,C#CCO,Inactive,,,,Rat,F344/N  / Male (50/Group),Inhalation,"0; 16; 32; 64 ppm for 6 hr plus 14 min per d, 5 d per wk for 105 wk (Study duration: 105 wk)",Respiratory epithelium: Adenoma (0/49; 0/49; 0/50; 3/49),Negative  (although incidence at highest dose exceeded historical controls). Conclusions of authors: Some evidence of carcinogenic activity.,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-552 Y08]"
6405,363904731,7859,C#CCO,Active,,,,Mouse,B6C3F1/Male (50/Group),Inhalation,"0; 8; 16; 32 ppm for 6 hr plus 14 min per d, 5 d per wk for 105 wk (Study duration: 105 wk)",Respiratory epithelium: Adenoma (0/49; 1/50; 4/50; 7/50); Harderian gland (3/50; 10/50; 6/50; 11/50),Positive. Conclusions of authors: Some evidence of carcinogenic activity based on increased incidences of nasal respiratory epithelial adenoma; increased incidences of Harderian gland adenoma may have been related to exposure).,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-552 Y08]"
6406,363904731,7859,C#CCO,Active,,,,Mouse,B6C3F1/Female (50/Group),Inhalation,"0; 8; 16; 32 ppm for 6 hr plus 14 min per d, 5 d per wk for 105 wk (Study duration: 105 wk)",Respiratory epithelium: Adenoma (0/50; 2/50; 4/50; 6/50),Positive. Conclusions of authors: Some evidence of carcinogenic activity.,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-552 Y08]"
6407,363904757,6433718,C1=C2C(=C(C(=C1Br)[O-])Br)OC3=C(C(=C(C=C3C24C5=C(C(=C(C(=C5Cl)Cl)Cl)Cl)C(=O)O4)Br)[O-])Br.[Na+].[Na+],Inactive,,,,MOUSE,B6C3F1/MALE,ORAL,0; 0.1; 0.4% IN DIET FOR 90 WK (STUDY DURATION: 90 WK),,NEGATIVE,"[ITO,A, FUJIMOTO,N, OKAMOTO,T, ANDO,Y AND WATANABE,H; TUMORIGENICITY STUDY OF PHLOXINE (FR 104) IN B6C3F1 MICE; FOOD CHEM. TOXICOL. 32(6):517-520, 1994]"
6408,363904757,6433718,C1=C2C(=C(C(=C1Br)[O-])Br)OC3=C(C(=C(C=C3C24C5=C(C(=C(C(=C5Cl)Cl)Cl)Cl)C(=O)O4)Br)[O-])Br.[Na+].[Na+],Inactive,,,,MOUSE,B6C3F1/FEMALE,ORAL,0; 0.1; 0.4% IN DIET FOR 90 WK (STUDY DURATION: 90 WK),,NEGATIVE,"[ITO,A, FUJIMOTO,N, OKAMOTO,T, ANDO,Y AND WATANABE,H; TUMORIGENICITY STUDY OF PHLOXINE (FR 104) IN B6C3F1 MICE; FOOD CHEM. TOXICOL. 32(6):517-520, 1994]"
6409,363904773,30773,CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C#N,Inactive,,,,RAT,CRL:CD BR/FEMALE,ORAL,0; 1; 5; 25; 50 PPM FOR 104 WK (STUDY DURATION: 104 WK),,NEGATIVE,"[BOGDANFFY,MS O'CONNOR,JC HANSEN,JF GADDAMIDI,V VAN PELT,CS GREEN,JW AND COOK,JC; CHRONIC TOXICITY AND ONCOGENICITY BIOASSAY IN RATS WITH THE CHLORO-S-TRIAZINE HERBICIDE CYANAZINE; J. TOXICOL. ENVIRON. HEALTH, PART A 60(8):567-586, 2000]"
6410,363904773,30773,CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C#N,Inactive,,,,Mouse,CD/Female (50 per group; 100 per group for controls),Oral,"0; 10; 25; 1,000 ppm of 98% pure cyanazine in feed for two yr",,Negative,"[CALIFORNIA ENVIRONMENTAL PROTECTION AGENCY DEPARTMENT OF PESTICIDE REGULATION; SUMMARY OF TOXICOLOGY DATA FOR CYANAZINE (MAY 18, 1995)]"
6411,363904773,30773,CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C#N,Inactive,,,,Mouse,CD/Male (50 per group; 100 per group for controls),Oral,"0; 10; 25; 1,000 ppm of 98% pure cyanazine in feed for two yr",,Negative,"[CALIFORNIA ENVIRONMENTAL PROTECTION AGENCY DEPARTMENT OF PESTICIDE REGULATION; SUMMARY OF TOXICOLOGY DATA FOR CYANAZINE (MAY 18, 1995)]"
6412,363904774,6327054,C1CCC(CC1)[Sn](C2CCCCC2)C3CCCCC3.O,Inactive,,,,Mouse,B6C3F1/Male (50/group),Oral,0; 1; 3; 6 mg/kg of 98% pure cyhexatin in diet for 2 years,,"Negative, (DPR evaluator indicated inadequate justification of dose and too narrow a range with exposures at two lower doses not discrete.)","[CALIFORNIA ENVIRONMENTAL PROTECTION AGENCY DEPARTMENT OF PESTICIDE REGULATION; SUMMARY OF TOXICOLOGY DATA FOR CYHEXATIN (MAY 27, 1987)]"
6413,363904774,6327054,C1CCC(CC1)[Sn](C2CCCCC2)C3CCCCC3.O,Inactive,,,,Mouse,B6C3F1/Female (50/group),Oral,0; 1; 3; 6 mg/kg of 98% pure cyhexatin in diet for 2 years,,"Negative, (DPR evaluator indicated inadequate justification of dose and too narrow a range with exposures at two lower doses not discrete.)","[CALIFORNIA ENVIRONMENTAL PROTECTION AGENCY DEPARTMENT OF PESTICIDE REGULATION; SUMMARY OF TOXICOLOGY DATA FOR CYHEXATIN (MAY 27, 1987)]"
6414,363904791,119263,CN1C(=CN=C1C2=NOC3C2CCCC3)[N+](=O)[O-],Active,,,,MOUSE,SWISS/FEMALE,INTRAPERITONEAL,0; 80 UG/G BW 1/D FOR 30 DAYS (STUDY DURATION: LIFETIME),LYMPHATIC SYSTEM: LYMPHOMA,POSITIVE,"[TEIXEIRA,ARL, CALIXTO,MA AND TEIXEIRA,ML; CHAGAS' DISEASE: CARCINOGENIC ACTIVITY OF THE ANTITRYPANOSOMAL NITROARENES IN MICE; MUTAT. RES. 305(2): 189-196, 1994]"
6415,363904792,24856,[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[Al+3].[K+],Inactive,,,,MOUSE,B6C3F1/MALE,ORAL,0; 1; 2.5; 5; 10% (W/W) IN DIET FOR 20 MO (STUDY DURATION: 20 MO),,NEGATIVE,"[ONEDA,S, TAKASAKI,T, KURIWAKI,K, OHI,Y, UMEKITA,Y, HATANAKA,S, FUJIYOSHI,T, YOSHIDA,A AND YOSHIDA,H; CHRONIC TOXICITY AND TUMORIGENICITY STUDY OF ALUMINUM POTASSIUM SULFATE IN B6C3F1 MICE; IN VIVO 8(3):271-277, 1994]"
6416,363904792,24856,[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[Al+3].[K+],Inactive,,,,MOUSE,B6C3F1/FEMALE,ORAL,0; 1; 2.5; 5; 10% (W/W) IN DIET FOR 20 MO (STUDY DURATION: 20 MO),,NEGATIVE,"[ONEDA,S, TAKASAKI,T, KURIWAKI,K, OHI,Y, UMEKITA,Y, HATANAKA,S, FUJIYOSHI,T, YOSHIDA,A AND YOSHIDA,H; CHRONIC TOXICITY AND TUMORIGENICITY STUDY OF ALUMINUM POTASSIUM SULFATE IN B6C3F1 MICE; IN VIVO 8(3):271-277, 1994]"
6417,363904792,24856,[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[Al+3].[K+],Inactive,,,,MOUSE,SWISS/MALE,ORAL,0; 5 PPM IN DRINKING WATER FOR DURATION OF STUDY (STUDY DURATION: LIFE SPAN),,NEGATIVE,"[SCHROEDER,HA AND MITCHENER,M; LIFE-TERM EFFECTS OF MERCURY, METHYL MERCURY AND NINE OTHER TRACE METALS ON MICE; J. NUTR. 105:452-458, 1975]"
6418,363904792,24856,[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[Al+3].[K+],Inactive,,,,MOUSE,SWISS/FEMALE,ORAL,0; 5 PPM IN DRINKING WATER FOR DURATION OF STUDY (STUDY DURATION: LIFE SPAN),,NEGATIVE,"[SCHROEDER,HA AND MITCHENER,M; LIFE-TERM EFFECTS OF MERCURY, METHYL MERCURY AND NINE OTHER TRACE METALS ON MICE; J. NUTR. 105:452-458, 1975]"
6419,363904793,61300,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Fe+3],Inactive,,,,MOUSE,B6C3F1/MALE,ORAL,0; 0.06; 0.12% IN DRINKING WATER FOR 96 WK (STUDY DURATION: 100 WK),,NEGATIVE,"[INAI,K, FUJIHARA,M, YONEHARA,S AND KOBUKE,T; TUMORIGENICITY STUDY OF FERRIC CITRATE ADMINISTERED ORALLY TO MICE; FOOD CHEM. TOXICOL. 32(6):493-498, 1994]"
6420,363904793,61300,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Fe+3],Inactive,,,,MOUSE,B6C3F1/FEMALE,ORAL,0; 0.06%; 0.12% IN DRINKING WATER FOR 96 WK (STUDY DURATION: 100 WK),,NEGATIVE,"[INAI,K, FUJIHARA,M, YONEHARA,S AND KOBUKE,T; TUMORIGENICITY STUDY OF FERRIC CITRATE ADMINISTERED ORALLY TO MICE; FOOD CHEM. TOXICOL. 32(6):493-498, 1994]"
6421,363904794,93038,CC1CC(CC(C1)(OOC(C)(C)C)OOC(C)(C)C)(C)C,Inactive,,,,MOUSE,B6C3F1/MALE,ORAL,0; 0.25; 0.5% IN DIET FOR 78 WK (STUDY DURATION: 83 WK),,NEGATIVE,"[MITSUI,M, FURUKAWA,F, SATO,M, ENAMI,T, IMAZAWA,T, NISHIKAWA,A AND TAKAHASHI,M; CARCINOGENICITY STUDY OF 1,1-BIS(TERT-BUTYLPEROXY)-3,3,5-TRIMETHYLCYCLOHEXANE IN B6C3F1 MICE; FOOD CHEM. TOXICOL. 31(12):929-933, 1993]"
6422,363904794,93038,CC1CC(CC(C1)(OOC(C)(C)C)OOC(C)(C)C)(C)C,Inactive,,,,MOUSE,B6C3F1/FEMALE,ORAL,0; 0.25; 0.5% IN DIET FOR 78 WK (STUDY DURATION: 83 WK),,NEGATIVE,"[MITSUI,M, FURUKAWA,F, SATO,M, ENAMI,T, IMAZAWA,T, NISHIKAWA,A AND TAKAHASHI,M; CARCINOGENICITY STUDY OF 1,1-BIS(TERT-BUTYLPEROXY)-3,3,5-TRIMETHYLCYCLOHEXANE IN B6C3F1 MICE; FOOD CHEM. TOXICOL. 31(12):929-933, 1993]"
6423,363904795,21492,C(COC(=O)N)O,Active,,,,MOUSE,STRAIN-A/MALE,INTRAPERITONEAL,0; 1.12; 4.6; 11.2 MMOL/KG IN ISOTONIC SALINE ONCE AT 6 WK OF AGE (STUDY DURATION: 16 WK),LUNG: ADENOMA,POSITIVE,"[MIRVISH,SS, SMYRK,T, PAYNE,S, TUATOO,H AND CHEN,SC; WEAK CARCINOGENICITY OF 2-HYDROXYETHYL CARBAMATE IN STRAIN A MICE: INDICATION THAT THIS IS NOT A PROXIMAL METABOLITE OF ETHYL CARBAMATE; CANCER LETT. 77(1):1-5, 1994]"
6424,363904796,15142,CN1C2=CC=CC=C2C3=CC=CC=C31,Inactive,,,,MOUSE,CD-1/FEMALE,INTRAPERITONEAL,"0; 1.75 UMOL/MOUSE (TOTAL DOSE) ADMINISTERED DURING DAYS 1, 8, AND 15 OF LIFE (STUDY DURATION: 52 WK)",,NEGATIVE,"[WEYAND,EH, DEFAUW,J, MCQUEEN,CA, MESCHTER,CL, MEEGALLA,SK AND LAVOIE,EJ; BIOASSAY OF QUINOLINE, 5-FLUOROQUINOLINE, CARBAZOLE, 9-METHYLCARBAZOLE, AND 9-ETHYLCARBAZOLE IN NEWBORN MICE; FOOD CHEM. TOXICOL. 31(10):707-715, 1993]"
6425,363904796,15142,CN1C2=CC=CC=C2C3=CC=CC=C31,Inactive,,,,MOUSE,CD-1/MALE,INTRAPERITONEAL,"0; 1.75 UMOL/MOUSE (TOTAL DOSE) ADMINISTERED DURING DAYS 1, 8, AND 15 OF LIFE (STUDY DURATION: 52 WK)",,NEGATIVE,"[WEYAND,EH, DEFAUW,J, MCQUEEN,CA, MESCHTER,CL, MEEGALLA,SK AND LAVOIE,EJ; BIOASSAY OF QUINOLINE, 5-FLUOROQUINOLINE, CARBAZOLE, 9-METHYLCARBAZOLE, AND 9-ETHYLCARBAZOLE IN NEWBORN MICE; FOOD CHEM. TOXICOL. 31(10):707-715, 1993]"
6426,363904797,6836,CCN1C2=CC=CC=C2C3=CC=CC=C31,Inactive,,,,MOUSE,CD-1/FEMALE,INTRAPERITONEAL,"0; 1.75 UMOL/MOUSE (TOTAL DOSE) ADMINISTERED DURING DAYS 1, 8, AND 15 OF LIFE (STUDY DURATION: 52 WK)",,NEGATIVE,"[WEYAND,EH, DEFAUW,J, MCQUEEN,CA, MESCHTER,CL, MEEGALLA,SK AND LAVOIE,EJ; BIOASSAY OF QUINOLINE, 5-FLUOROQUINOLINE, CARBAZOLE, 9-METHYLCARBAZOLE, AND 9-ETHYLCARBAZOLE IN NEWBORN MICE; FOOD CHEM. TOXICOL. 31(10):707-715, 1993]"
6427,363904797,6836,CCN1C2=CC=CC=C2C3=CC=CC=C31,Inactive,,,,MOUSE,CD-1/MALE,INTRAPERITONEAL,"0; 1.75 UMOL/MOUSE (TOTAL DOSE) ADMINISTERED DURING DAYS 1, 8, AND 15 OF LIFE (STUDY DURATION: 52 WK)",,NEGATIVE,"[WEYAND,EH, DEFAUW,J, MCQUEEN,CA, MESCHTER,CL, MEEGALLA,SK AND LAVOIE,EJ; BIOASSAY OF QUINOLINE, 5-FLUOROQUINOLINE, CARBAZOLE, 9-METHYLCARBAZOLE, AND 9-ETHYLCARBAZOLE IN NEWBORN MICE; FOOD CHEM. TOXICOL. 31(10):707-715, 1993]"
6428,363904798,23679527,CC(C)N1C2=CC=CC=C2C(=C1/C=C/[C@@H](C[C@@H](CC(=O)[O-])O)O)C3=CC=C(C=C3)F.[Na+],Active,,,,MOUSE,CD-1/FEMALE,GAVAGE,0; 0.3; 15; 30 MG/KG/D FOR 52 OR 85 WK (STUDY DURATION: 86 WK),FORESTOMACH: PAPILLOMA,POSITIVE,"[ROBISON,RL, SUTER,W AND COX,RH; CARCINOGENICITY AND MUTAGENICITY STUDIES WITH FLUVASTATIN, A NEW, ENTIRELY SYNTHETIC HMG-COA REDUCTASE INHIBITOR; FUNDAM. APPL. TOXICOL. 23(1):9-20, 1994]"
6429,363904798,23679527,CC(C)N1C2=CC=CC=C2C(=C1/C=C/[C@@H](C[C@@H](CC(=O)[O-])O)O)C3=CC=C(C=C3)F.[Na+],Inactive,,,,MOUSE,CD-1/MALE,GAVAGE,0; 0.3; 15; 30 MG/KG/D FOR 52 OR 85 WK (STUDY DURATION: 86 WK),,NEGATIVE,"[ROBISON,RL, SUTER,W AND COX,RH; CARCINOGENICITY AND MUTAGENICITY STUDIES WITH FLUVASTATIN, A NEW, ENTIRELY SYNTHETIC HMG-COA REDUCTASE INHIBITOR; FUNDAM. APPL. TOXICOL. 23(1):9-20, 1994]"
6430,363904798,23679527,CC(C)N1C2=CC=CC=C2C(=C1/C=C/[C@@H](C[C@@H](CC(=O)[O-])O)O)C3=CC=C(C=C3)F.[Na+],Inactive,,,,MOUSE,CD-1/MALE,GAVAGE,0; 50; 150; 350 MG/KG/D FOR 52 OR 84 WK (HIGH DOSE GROUP TERMINATED IN WK 23) (STUDY DURATION: 84 WK),,NEGATIVE,"[ROBISON,RL, SUTER,W AND COX,RH; CARCINOGENICITY AND MUTAGENICITY STUDIES WITH FLUVASTATIN, A NEW, ENTIRELY SYNTHETIC HMG-COA REDUCTASE INHIBITOR; FUNDAM. APPL. TOXICOL. 23(1):9-20, 1994]"
6431,363904798,23679527,CC(C)N1C2=CC=CC=C2C(=C1/C=C/[C@@H](C[C@@H](CC(=O)[O-])O)O)C3=CC=C(C=C3)F.[Na+],Inactive,,,,MOUSE,CD-1/FEMALE,GAVAGE,0; 50; 150; 350 MG/KG/D FOR 52 OR 84 WK (HIGH DOSE GROUP TERMINATED IN WK 23) (STUDY DURATION: 93 WK),,NEGATIVE,"[ROBISON,RL, SUTER,W AND COX,RH; CARCINOGENICITY AND MUTAGENICITY STUDIES WITH FLUVASTATIN, A NEW, ENTIRELY SYNTHETIC HMG-COA REDUCTASE INHIBITOR; FUNDAM. APPL. TOXICOL. 23(1):9-20, 1994]"
6432,363904798,23679527,CC(C)N1C2=CC=CC=C2C(=C1/C=C/[C@@H](C[C@@H](CC(=O)[O-])O)O)C3=CC=C(C=C3)F.[Na+],Inactive,,,,RAT,STRAIN-CD/MALE,GAVAGE,0; 0.03; 0.3; 3 MG/KG/D FOR 95 WK (STUDY DURATION: 114 WK),,NEGATIVE,"[ROBISON,RL, SUTER,W AND COX,RH; CARCINOGENICITY AND MUTAGENICITY STUDIES WITH FLUVASTATIN, A NEW, ENTIRELY SYNTHETIC HMG-COA REDUCTASE INHIBITOR; FUNDAM. APPL. TOXICOL. 23(1):9-20, 1994]"
6433,363904798,23679527,CC(C)N1C2=CC=CC=C2C(=C1/C=C/[C@@H](C[C@@H](CC(=O)[O-])O)O)C3=CC=C(C=C3)F.[Na+],Inactive,,,,RAT,STRAIN-CD/FEMALE,GAVAGE,0; 0.03; 0.3; 3 MG/KG/D FOR 95 WK (STUDY DURATION: 114 WK),,NEGATIVE,"[ROBISON,RL, SUTER,W AND COX,RH; CARCINOGENICITY AND MUTAGENICITY STUDIES WITH FLUVASTATIN, A NEW, ENTIRELY SYNTHETIC HMG-COA REDUCTASE INHIBITOR; FUNDAM. APPL. TOXICOL. 23(1):9-20, 1994]"
